Passagem    i   j   Lista Após Troca                      Troca Feita?
Inicial             {92, 80, 71, 63, 55, 41, 39, 27, 14}   -

1           0   0   {80, 92, 71, 63, 55, 41, 39, 27, 14}   Sim
1           0   1   {80, 71, 92, 63, 55, 41, 39, 27, 14}   Sim
1           0   2   {80, 71, 63, 92, 55, 41, 39, 27, 14}   Sim
1           0   3   {80, 71, 63, 55, 92, 41, 39, 27, 14}   Sim
1           0   4   {80, 71, 63, 55, 41, 92, 39, 27, 14}   Sim
1           0   5   {80, 71, 63, 55, 41, 39, 92, 27, 14}   Sim
1           0   6   {80, 71, 63, 55, 41, 39, 27, 92, 14}   Sim
1           0   7   {80, 71, 63, 55, 41, 39, 27, 14, 92}   Sim
2           1   0   {71, 80, 63, 55, 41, 39, 27, 14, 92}   Sim
2           1   1   {71, 63, 80, 55, 41, 39, 27, 14, 92}   Sim
2           1   2   {71, 63, 55, 80, 41, 39, 27, 14, 92}   Sim
2           1   3   {71, 63, 55, 41, 80, 39, 27, 14, 92}   Sim
2           1   4   {71, 63, 55, 41, 39, 80, 27, 14, 92}   Sim
2           1   5   {71, 63, 55, 41, 39, 27, 80, 14, 92}   Sim
2           1   6   {71, 63, 55, 41, 39, 27, 14, 80, 92}   Sim
3           2   0   {63, 71, 55, 41, 39, 27, 14, 80, 92}   Sim
3           2   1   {63, 55, 71, 41, 39, 27, 14, 80, 92}   Sim
3           2   2   {63, 55, 41, 71, 39, 27, 14, 80, 92}   Sim
3           2   3   {63, 55, 41, 39, 71, 27, 14, 80, 92}   Sim
3           2   4   {63, 55, 41, 39, 27, 71, 14, 80, 92}   Sim
3           2   5   {63, 55, 41, 39, 27, 14, 71, 80, 92}   Sim
4           3   0   {55, 63, 41, 39, 27, 14, 71, 80, 92}   Sim
4           3   1   {55, 41, 63, 39, 27, 14, 71, 80, 92}   Sim
4           3   2   {55, 41, 39, 63, 27, 14, 71, 80, 92}   Sim
4           3   3   {55, 41, 39, 27, 63, 14, 71, 80, 92}   Sim
4           3   4   {55, 41, 39, 27, 14, 63, 71, 80, 92}   Sim
5           4   0   {41, 55, 39, 27, 14, 63, 71, 80, 92}   Sim
5           4   1   {41, 39, 55, 27, 14, 63, 71, 80, 92}   Sim
5           4   2   {41, 39, 27, 55, 14, 63, 71, 80, 92}   Sim
5           4   3   {41, 39, 27, 14, 55, 63, 71, 80, 92}   Sim
6           5   0   {39, 41, 27, 14, 55, 63, 71, 80, 92}   Sim
6           5   1   {39, 27, 41, 14, 55, 63, 71, 80, 92}   Sim
6           5   2   {39, 27, 14, 41, 55, 63, 71, 80, 92}   Sim
7           6   0   {27, 39, 14, 41, 55, 63, 71, 80, 92}   Sim
7           6   1   {27, 14, 39, 41, 55, 63, 71, 80, 92}   Sim
8           7   0   {14, 27, 39, 41, 55, 63, 71, 80, 92}   Sim
